naics_code,naics_description
541110,Offices of Lawyers
541120,Offices of Notaries
541191,Title Abstract and Settlement Offices
541199,All Other Legal Services
541211,Offices of Certified Public Accountants
541213,Tax Preparation Services
541214,Payroll Services
541219,Other Accounting Services
541310,Architectural Services
541320,Landscape Architectural Services
541330,Engineering Services
541340,Drafting Services
541350,Building Inspection Services
541360,Geophysical Surveying and Mapping Services
541370,Surveying and Mapping (except Geophysical) Services
541380,Testing Laboratories and Services
541410,Interior Design Services
541420,Industrial Design Services
541430,Graphic Design Services
541490,Other Specialized Design Services
541511,Custom Computer Programming Services
541512,Computer Systems Design Services
541513,Computer Facilities Management Services
541519,Other Computer Related Services
541611,Administrative Management and General Management Consulting Services
541612,Human Resources Consulting Services
541613,Marketing Consulting Services
541614,Process Physical Distribution and Logistics Consulting Services
541618,Other Management Consulting Services
541620,Environmental Consulting Services
541690,Other Scientific and Technical Consulting Services
541713,Research and Development in Nanotechnology
541714,Research and Development in Biotechnology (except Nanobiotechnology)
541715,Research and Development in the Physical Engineering and Life Sciences
541720,Research and Development in the Social Sciences and Humanities
541810,Advertising Agencies
541820,Public Relations Agencies
541830,Media Buying Agencies
541840,Media Representatives
541850,Indoor and Outdoor Display Advertising
541860,Direct Mail Advertising
541870,Advertising Material Distribution Services
541890,Other Services Related to Advertising
541910,Marketing Research and Public Opinion Polling
541921,Photography Studios Portrait
541922,Commercial Photography
541930,Translation and Interpretation Services
541940,Veterinary Services
541990,All Other Professional Scientific and Technical Services
